anio,mes,indice_tiempo,provincia,concepto,cantidad_mm3,produccion_mes_anterior,produccion_dos_meses_antes,promedio_3_meses,variacion_mes_anterior
2013,12,2013-12,Neuquén,Producción convencional,1279114.10852,1274002.58799,1320572.19782,1295958.6634566665,-46569.60982999997
2014,1,2014-01,Neuquén,Producción convencional,1286403.21903,1279114.10852,1274002.58799,1291229.631443333,5111.520530000096
2014,2,2014-02,Neuquén,Producción convencional,1152187.490909,1286403.21903,1279114.10852,1279839.9718466667,7289.110510000028
2014,3,2014-03,Neuquén,Producción convencional,1228711.53984,1152187.490909,1286403.21903,1239234.9394863334,-134215.7281210001
2014,4,2014-04,Neuquén,Producción convencional,1200857.95992,1228711.53984,1152187.490909,1222434.0832596666,76524.04893100006
2014,5,2014-05,Neuquén,Producción convencional,1266255.4796,1200857.95992,1228711.53984,1193918.9968896667,-27853.57991999993
2014,6,2014-06,Neuquén,Producción convencional,1218171.79186,1266255.4796,1200857.95992,1231941.6597866667,65397.51967999991
2014,7,2014-07,Neuquén,Producción convencional,1252466.15656,1218171.79186,1266255.4796,1228428.4104600002,-48083.687739999965
2014,8,2014-08,Neuquén,Producción convencional,1238363.51269,1252466.15656,1218171.79186,1245631.1426733334,34294.364700000035
2014,9,2014-09,Neuquén,Producción convencional,1188220.5322,1238363.51269,1252466.15656,1236333.82037,-14102.643870000029
2014,10,2014-10,Neuquén,Producción convencional,1211865.63107,1188220.5322,1238363.51269,1226350.06715,-50142.98048999999
2014,11,2014-11,Neuquén,Producción convencional,1171594.1232,1211865.63107,1188220.5322,1212816.5586533332,23645.09886999987
2014,12,2014-12,Neuquén,Producción convencional,1193302.127,1171594.1232,1211865.63107,1190560.09549,-40271.507869999856
2015,1,2015-01,Neuquén,Producción convencional,1180009.96812,1193302.127,1171594.1232,1192253.9604233333,21708.003800000064
2015,2,2015-02,Neuquén,Producción convencional,1073255.26031,1180009.96812,1193302.127,1181635.4061066667,-13292.158880000003
2015,3,2015-03,Neuquén,Producción convencional,1194789.00574,1073255.26031,1180009.96812,1148855.7851433335,-106754.70781000005
2015,4,2015-04,Neuquén,Producción convencional,1143738.42191,1194789.00574,1073255.26031,1149351.41139,121533.7454299999
2015,5,2015-05,Neuquén,Producción convencional,1176892.189245,1143738.42191,1194789.00574,1137260.8959866667,-51050.5838299999
2015,6,2015-06,Neuquén,Producción convencional,1123288.5548,1176892.189245,1143738.42191,1171806.538965,33153.76733499998
2015,7,2015-07,Neuquén,Producción convencional,1146054.09625,1123288.5548,1176892.189245,1147973.0553183334,-53603.634444999974
2015,8,2015-08,Neuquén,Producción convencional,1145505.057945,1146054.09625,1123288.5548,1148744.946765,22765.541449999902
2015,9,2015-09,Neuquén,Producción convencional,1073627.38011,1145505.057945,1146054.09625,1138282.5696649998,-549.0383049999364
2015,10,2015-10,Neuquén,Producción convencional,1105872.352712,1073627.38011,1145505.057945,1121728.8447683332,-71877.67783499998
2015,11,2015-11,Neuquén,Producción convencional,1058390.289098975,1105872.352712,1073627.38011,1108334.9302556666,32244.972601999994
2015,12,2015-12,Neuquén,Producción convencional,1112202.416938122,1058390.289098975,1105872.352712,1079296.6739736584,-47482.063613025006
2016,1,2016-01,Neuquén,Producción convencional,1110887.6125438928,1112202.416938122,1058390.289098975,1092155.0195830322,53812.12783914688
2016,2,2016-02,Neuquén,Producción convencional,1033102.0372173624,1110887.6125438928,1112202.416938122,1093826.7728603298,-1314.8043942290824
2016,3,2016-03,Neuquén,Producción convencional,1099500.7902572965,1033102.0372173624,1110887.6125438928,1085397.355566459,-77785.57532653038
2016,4,2016-04,Neuquén,Producción convencional,1012581.501265224,1099500.7902572965,1033102.0372173624,1081163.480006184,66398.75303993409
2016,5,2016-05,Neuquén,Producción convencional,1066895.6078344225,1012581.501265224,1099500.7902572965,1048394.7762466278,-86919.28899207257
2016,6,2016-06,Neuquén,Producción convencional,1018619.2537457818,1066895.6078344225,1012581.501265224,1059659.2997856478,54314.10656919854
2016,7,2016-07,Neuquén,Producción convencional,1059708.1269154893,1018619.2537457818,1066895.6078344225,1032698.7876151428,-48276.354088640655
2016,8,2016-08,Neuquén,Producción convencional,1041928.046150398,1059708.1269154893,1018619.2537457818,1048407.6628318978,41088.87316970748
2016,9,2016-09,Neuquén,Producción convencional,1007073.641382662,1041928.046150398,1059708.1269154893,1040085.1422705563,-17780.08076509135
2016,10,2016-10,Neuquén,Producción convencional,1025159.8239480028,1007073.641382662,1041928.046150398,1036236.6048161831,-34854.40476773598
2016,11,2016-11,Neuquén,Producción convencional,955193.9824760269,1025159.8239480028,1007073.641382662,1024720.5038270209,18086.182565340772
2016,12,2016-12,Neuquén,Producción convencional,996686.592382898,955193.9824760269,1025159.8239480028,995809.1492688973,-69965.8414719759
2017,1,2017-01,Neuquén,Producción convencional,996447.8155035875,996686.592382898,955193.9824760269,992346.7996023092,41492.609906871105
2017,2,2017-02,Neuquén,Producción convencional,897554.2641314339,996447.8155035875,996686.592382898,982776.1301208375,-238.7768793104915
2017,3,2017-03,Neuquén,Producción convencional,969263.6984522269,897554.2641314339,996447.8155035875,963562.8906726398,-98893.55137215357
2017,4,2017-04,Neuquén,Producción convencional,960477.0198120978,969263.6984522269,897554.2641314339,954421.9260290827,71709.43432079302
2017,5,2017-05,Neuquén,Producción convencional,986008.4950098371,960477.0198120978,969263.6984522269,942431.6607985863,-8786.678640129161
2017,6,2017-06,Neuquén,Producción convencional,947777.7500721792,986008.4950098371,960477.0198120978,971916.4044247206,25531.475197739317
2017,7,2017-07,Neuquén,Producción convencional,977724.5885917773,947777.7500721792,986008.4950098371,964754.4216313713,-38230.744937657844
