anio,mes,indice_tiempo,provincia,concepto,cantidad_mm3
2009,10,2009-10,Chubut,Tight gas,0
2009,10,2009-10,Estado Nacional,Producción convencional,237178.56825
2009,10,2009-10,Estado Nacional,Shale gas,0
2009,10,2009-10,Estado Nacional,Tight gas,0
2009,10,2009-10,Formosa,Producción convencional,3287.81
2009,10,2009-10,Formosa,Shale gas,0
2009,10,2009-10,Formosa,Tight gas,0
2009,10,2009-10,Jujuy,Producción convencional,375.280000
2009,10,2009-10,Jujuy,Shale gas,0
2009,10,2009-10,Jujuy,Tight gas,0
2009,10,2009-10,La Pampa,Producción convencional,39411.517
2009,10,2009-10,La Pampa,Shale gas,0
2009,10,2009-10,La Pampa,Tight gas,0
2009,10,2009-10,Mendoza,Producción convencional,195069.7178
2009,10,2009-10,Mendoza,Shale gas,0
2009,10,2009-10,Mendoza,Tight gas,0
2009,10,2009-10,Neuquén,Producción convencional,1863337.72629000
2009,10,2009-10,Neuquén,Shale gas,704.131
2009,10,2009-10,Neuquén,Tight gas,77848.49322
2009,10,2009-10,Rio Negro,Producción convencional,60091.71800000
2009,10,2009-10,Rio Negro,Shale gas,0
2009,10,2009-10,Rio Negro,Tight gas,10070.059
2009,10,2009-10,Salta,Producción convencional,532298.058
2009,10,2009-10,Salta,Shale gas,0
2009,10,2009-10,Salta,Tight gas,0
2009,10,2009-10,San Juan,Producción convencional,0
2009,10,2009-10,San Juan,Shale gas,0
2009,10,2009-10,San Juan,Tight gas,0
2009,10,2009-10,Santa Cruz,Producción convencional,432372.3534
2009,10,2009-10,Santa Cruz,Shale gas,0
2009,10,2009-10,Santa Cruz,Tight gas,2315.135
2009,10,2009-10,Tierra del Fuego,Producción convencional,363346.080
2009,10,2009-10,Tierra del Fuego,Shale gas,0
2009,10,2009-10,Tierra del Fuego,Tight gas,0
2009,11,2009-11,Chubut,Producción convencional,284825.6169
2009,11,2009-11,Chubut,Shale gas,0
2009,11,2009-11,Chubut,Tight gas,0
2009,11,2009-11,Estado Nacional,Producción convencional,225593.157
